DPDP_Section,DPDP_Section_Name,DPDP_Rule,DPDP_Schedule,DPDP_Control,DPDP_Control_Description,GDPR_Control,GDPR_Control_Description,GDPR_Article,GDPR_Principle,OPP_Category,Relationship_Path,Mapping_Type,Confidence
Section 7,Certain legitimate uses.,Rule 7.0,,GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,Art.5(1(e)): Storage Limitation,Data Security,Section 7 -> Rule 7.0 -> GDPR-25 -> GDPR-25 -> Art.25 -> Data Security,DIRECT_JURIX,1.0
Section 7,Certain legitimate uses.,Rule 7.0,,GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 7 -> Rule 7.0 -> GDPR-25 -> GDPR-25 -> Art.25 -> Policy Change,DIRECT_JURIX,1.0
Section 7,Certain legitimate uses.,Rule 7.0,,GDPR-26,Data processors notify data controllers immediately after becoming aware of a personal data breach.,GDPR-26,Data processors notify data controllers immediately after becoming aware of a personal data breach.,Art.26,,"User Access, Edit and Deletion","Section 7 -> Rule 7.0 -> GDPR-26 -> GDPR-26 -> Art.26 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-04,"The organization shall ensure that a clear and concise summary of the data processing arrangement is made available to the Data Principal, outlining the nature of processing, the roles and responsibilities of the Data Fiduciary, and the mechanisms in place to uphold the rights of the Data Principal, in accordance with the transparency obligations under the Digital Personal Data Protection Act, 2023.",GDPR-02,The controller (fiduciary) shall inform the data subject (Principal) without delay of the reasons for not taking action on the data subject (principal)request.,,,UNMAPPED,Section 8 -> DPDP-04 -> GDPR-02 -> UNMAPPED,NONE,0.0
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-04,"The organization shall ensure that a clear and concise summary of the data processing arrangement is made available to the Data Principal, outlining the nature of processing, the roles and responsibilities of the Data Fiduciary, and the mechanisms in place to uphold the rights of the Data Principal, in accordance with the transparency obligations under the Digital Personal Data Protection Act, 2023.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 8 -> Rule 6.0 -> Schedule 3 -> DPDP-04 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-04,"The organization shall ensure that a clear and concise summary of the data processing arrangement is made available to the Data Principal, outlining the nature of processing, the roles and responsibilities of the Data Fiduciary, and the mechanisms in place to uphold the rights of the Data Principal, in accordance with the transparency obligations under the Digital Personal Data Protection Act, 2023.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 8 -> Rule 6.0 -> Schedule 3 -> DPDP-04 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-04,"The organization shall ensure that a clear and concise summary of the data processing arrangement is made available to the Data Principal, outlining the nature of processing, the roles and responsibilities of the Data Fiduciary, and the mechanisms in place to uphold the rights of the Data Principal, in accordance with the transparency obligations under the Digital Personal Data Protection Act, 2023.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 8 -> Rule 6.0 -> Schedule 3 -> DPDP-04 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-04,"The organization shall ensure that a clear and concise summary of the data processing arrangement is made available to the Data Principal, outlining the nature of processing, the roles and responsibilities of the Data Fiduciary, and the mechanisms in place to uphold the rights of the Data Principal, in accordance with the transparency obligations under the Digital Personal Data Protection Act, 2023.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 8 -> Rule 6.0 -> Schedule 3 -> DPDP-04 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-04,"The organization shall ensure that a clear and concise summary of the data processing arrangement is made available to the Data Principal, outlining the nature of processing, the roles and responsibilities of the Data Fiduciary, and the mechanisms in place to uphold the rights of the Data Principal, in accordance with the transparency obligations under the Digital Personal Data Protection Act, 2023.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,"User Access, Edit and Deletion","Section 8 -> Rule 6.0 -> Schedule 3 -> DPDP-04 -> GDPR-14 -> Art.14 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-04,"The organization shall ensure that a clear and concise summary of the data processing arrangement is made available to the Data Principal, outlining the nature of processing, the roles and responsibilities of the Data Fiduciary, and the mechanisms in place to uphold the rights of the Data Principal, in accordance with the transparency obligations under the Digital Personal Data Protection Act, 2023.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,Data Retention,Section 8 -> Rule 6.0 -> Schedule 3 -> DPDP-04 -> GDPR-14 -> Art.14 -> Data Retention,ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-09,"The organization shall implement a Consent Management System (CMS) to ensure that the collection and processing of personal data complies with the principles established under the Digital Personal Data Protection Act (DPDPA). Consent obtained must be free, specific, informed, and revocable, and notices must be clear and transparent to Data Principals.",GDPR-39,The data subject (principal) has the right to withdraw his or her consent at any time,Art.39,,Third Party Sharing/Collection,Section 8 -> Rule 6.0 -> Schedule 3 -> DPDP-09 -> GDPR-39 -> Art.39 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,DPDP-09,"The organization shall implement a Consent Management System (CMS) to ensure that the collection and processing of personal data complies with the principles established under the Digital Personal Data Protection Act (DPDPA). Consent obtained must be free, specific, informed, and revocable, and notices must be clear and transparent to Data Principals.",GDPR-39,The data subject (principal) has the right to withdraw his or her consent at any time,Art.39,,User Choice/Control,Section 8 -> Rule 6.0 -> Schedule 3 -> DPDP-09 -> GDPR-39 -> Art.39 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,,Third Party Sharing/Collection,Section 8 -> Rule 6.0 -> Schedule 3 -> GDPR-25 -> GDPR-25 -> Art.25 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,,Data Retention,Section 8 -> Rule 6.0 -> Schedule 3 -> GDPR-25 -> GDPR-25 -> Art.25 -> Data Retention,ARTICLE_MATCH,0.95
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,Art.5(1(e)): Storage Limitation,Data Security,Section 8 -> Rule 6.0 -> Schedule 3 -> GDPR-25 -> GDPR-25 -> Art.25 -> Data Security,DIRECT_JURIX,1.0
Section 8,General obligations of Data Fiduciary.,Rule 6.0,Schedule 3,GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 8 -> Rule 6.0 -> Schedule 3 -> GDPR-25 -> GDPR-25 -> Art.25 -> Policy Change,DIRECT_JURIX,1.0
Section 9,Processing of personal data of children.,Rule 10.0,Schedule 4,DPDP-11,"The organization shall ensure that personal data is not retained for longer than necessary to fulfill the specified purposes for which it was collected, in compliance with the Digital Personal Data Protection Act (DPDPA). Retention periods must be clearly defined, monitored, and enforced through organizational policies and practices.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 9 -> Rule 10.0 -> Schedule 4 -> DPDP-11 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 9,Processing of personal data of children.,Rule 10.0,Schedule 4,DPDP-11,"The organization shall ensure that personal data is not retained for longer than necessary to fulfill the specified purposes for which it was collected, in compliance with the Digital Personal Data Protection Act (DPDPA). Retention periods must be clearly defined, monitored, and enforced through organizational policies and practices.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 9 -> Rule 10.0 -> Schedule 4 -> DPDP-11 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 9,Processing of personal data of children.,Rule 10.0,Schedule 4,DPDP-11,"The organization shall ensure that personal data is not retained for longer than necessary to fulfill the specified purposes for which it was collected, in compliance with the Digital Personal Data Protection Act (DPDPA). Retention periods must be clearly defined, monitored, and enforced through organizational policies and practices.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 9 -> Rule 10.0 -> Schedule 4 -> DPDP-11 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 9,Processing of personal data of children.,Rule 10.0,Schedule 4,DPDP-11,"The organization shall ensure that personal data is not retained for longer than necessary to fulfill the specified purposes for which it was collected, in compliance with the Digital Personal Data Protection Act (DPDPA). Retention periods must be clearly defined, monitored, and enforced through organizational policies and practices.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 9 -> Rule 10.0 -> Schedule 4 -> DPDP-11 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 9,Processing of personal data of children.,Rule 10.0,Schedule 4,DPDP-28,Organizations must implement specific measures to ensure the lawful processing and protection of children's personal data. Personal data of individuals under the age of 18 must only be processed with the verified consent of the parent or lawful guardian. The verification of parental consent must be reliable and auditable.,GDPR-40,Childrens data should be handled accordingly.,,,UNMAPPED,Section 9 -> DPDP-28 -> GDPR-40 -> UNMAPPED,NONE,0.0
Section 10,Additional obligations of Significant Data Fiduciary.,Rule 12.0,,DPDP-10,"The organization shall establish and maintain a Privacy Policy that ensures personal data is collected only for specified, explicit, and legitimate purposes, in accordance with the principles of the Digital Personal Data Protection Act (DPDPA). Data processing beyond the original stated purpose must not occur without obtaining fresh consent.",GDPR-35,The Company’s Privacy Policy and it’s Privacy Agreements with relevant vendors are established to help ensure that the personal data is collected and processed through fair and lawful means,Art.35,,Third Party Sharing/Collection,Section 10 -> Rule 12.0 -> DPDP-10 -> GDPR-35 -> Art.35 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 10,Additional obligations of Significant Data Fiduciary.,Rule 12.0,,DPDP-10,"The organization shall establish and maintain a Privacy Policy that ensures personal data is collected only for specified, explicit, and legitimate purposes, in accordance with the principles of the Digital Personal Data Protection Act (DPDPA). Data processing beyond the original stated purpose must not occur without obtaining fresh consent.",GDPR-35,The Company’s Privacy Policy and it’s Privacy Agreements with relevant vendors are established to help ensure that the personal data is collected and processed through fair and lawful means,Art.35,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 10 -> Rule 12.0 -> DPDP-10 -> GDPR-35 -> Art.35 -> Policy Change,DIRECT_JURIX,1.0
Section 11,Right to access information about personal data.,Rule 13.0,,DPDP-11,"The organization shall ensure that personal data is not retained for longer than necessary to fulfill the specified purposes for which it was collected, in compliance with the Digital Personal Data Protection Act (DPDPA). Retention periods must be clearly defined, monitored, and enforced through organizational policies and practices.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,Third Party Sharing/Collection,Section 11 -> Rule 13.0 -> DPDP-11 -> GDPR-06 -> Art.6 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 11,Right to access information about personal data.,Rule 13.0,,DPDP-11,"The organization shall ensure that personal data is not retained for longer than necessary to fulfill the specified purposes for which it was collected, in compliance with the Digital Personal Data Protection Act (DPDPA). Retention periods must be clearly defined, monitored, and enforced through organizational policies and practices.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,User Choice/Control,Section 11 -> Rule 13.0 -> DPDP-11 -> GDPR-06 -> Art.6 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 11,Right to access information about personal data.,Rule 13.0,,DPDP-11,"The organization shall ensure that personal data is not retained for longer than necessary to fulfill the specified purposes for which it was collected, in compliance with the Digital Personal Data Protection Act (DPDPA). Retention periods must be clearly defined, monitored, and enforced through organizational policies and practices.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,,"User Access, Edit and Deletion","Section 11 -> Rule 13.0 -> DPDP-11 -> GDPR-06 -> Art.6 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 11,Right to access information about personal data.,Rule 13.0,,DPDP-11,"The organization shall ensure that personal data is not retained for longer than necessary to fulfill the specified purposes for which it was collected, in compliance with the Digital Personal Data Protection Act (DPDPA). Retention periods must be clearly defined, monitored, and enforced through organizational policies and practices.",GDPR-06,A Data Processing Agreement is utilized to communicate the principles of processing of personal data that the organization abides to.,Art.6,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 11 -> Rule 13.0 -> DPDP-11 -> GDPR-06 -> Art.6 -> Policy Change,DIRECT_JURIX,1.0
Section 11,Right to access information about personal data.,Rule 13.0,,DPDP-13,"The organization shall ensure that the processing of personal data is conducted fairly and transparently. Individuals (Data Principals) must be clearly informed about how their personal data is collected, used, shared, and retained.",GDPR-35,The Company’s Privacy Policy and it’s Privacy Agreements with relevant vendors are established to help ensure that the personal data is collected and processed through fair and lawful means,Art.35,,Third Party Sharing/Collection,Section 11 -> Rule 13.0 -> DPDP-13 -> GDPR-35 -> Art.35 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 11,Right to access information about personal data.,Rule 13.0,,DPDP-13,"The organization shall ensure that the processing of personal data is conducted fairly and transparently. Individuals (Data Principals) must be clearly informed about how their personal data is collected, used, shared, and retained.",GDPR-35,The Company’s Privacy Policy and it’s Privacy Agreements with relevant vendors are established to help ensure that the personal data is collected and processed through fair and lawful means,Art.35,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 11 -> Rule 13.0 -> DPDP-13 -> GDPR-35 -> Art.35 -> Policy Change,DIRECT_JURIX,1.0
Section 12,Right to correction and erasure of personal data.,Rule 13.0,,GDPR-12,"The organization has mechanisms in place to ensure that data controllers (fiduciary) communicate any rectification or erasure of personal data to each recipient to whom the personal data has been disclosed, and subsequently controllers inform the data subjects if requested.",GDPR-12,"The organization has mechanisms in place to ensure that data controllers (fiduciary) communicate any rectification or erasure of personal data to each recipient to whom the personal data has been disclosed, and subsequently controllers inform the data subjects if requested.",Art.12,,Data Retention,Section 12 -> Rule 13.0 -> GDPR-12 -> GDPR-12 -> Art.12 -> Data Retention,ARTICLE_MATCH,0.95
Section 12,Right to correction and erasure of personal data.,Rule 13.0,,GDPR-12,"The organization has mechanisms in place to ensure that data controllers (fiduciary) communicate any rectification or erasure of personal data to each recipient to whom the personal data has been disclosed, and subsequently controllers inform the data subjects if requested.",GDPR-12,"The organization has mechanisms in place to ensure that data controllers (fiduciary) communicate any rectification or erasure of personal data to each recipient to whom the personal data has been disclosed, and subsequently controllers inform the data subjects if requested.",Art.12,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 12 -> Rule 13.0 -> GDPR-12 -> GDPR-12 -> Art.12 -> Policy Change,DIRECT_JURIX,1.0
Section 13,Right of grievance redressal.,Rule 13.0,,DPDP-13,"The organization shall ensure that the processing of personal data is conducted fairly and transparently. Individuals (Data Principals) must be clearly informed about how their personal data is collected, used, shared, and retained.",GDPR-35,The Company’s Privacy Policy and it’s Privacy Agreements with relevant vendors are established to help ensure that the personal data is collected and processed through fair and lawful means,Art.35,,Third Party Sharing/Collection,Section 13 -> Rule 13.0 -> DPDP-13 -> GDPR-35 -> Art.35 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 13,Right of grievance redressal.,Rule 13.0,,DPDP-13,"The organization shall ensure that the processing of personal data is conducted fairly and transparently. Individuals (Data Principals) must be clearly informed about how their personal data is collected, used, shared, and retained.",GDPR-35,The Company’s Privacy Policy and it’s Privacy Agreements with relevant vendors are established to help ensure that the personal data is collected and processed through fair and lawful means,Art.35,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 13 -> Rule 13.0 -> DPDP-13 -> GDPR-35 -> Art.35 -> Policy Change,DIRECT_JURIX,1.0
Section 14,Right to nominate.,Rule 13.0,,DPDP-14,"The organization shall ensure that only personal data necessary for the specified, explicit, and legitimate purposes is collected and retained, in accordance with the Digital Personal Data Protection Act (DPDPA). Data shall be kept only for the minimum period required to fulfill the intended purpose.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,"User Access, Edit and Deletion","Section 14 -> Rule 13.0 -> DPDP-14 -> GDPR-14 -> Art.14 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 14,Right to nominate.,Rule 13.0,,DPDP-14,"The organization shall ensure that only personal data necessary for the specified, explicit, and legitimate purposes is collected and retained, in accordance with the Digital Personal Data Protection Act (DPDPA). Data shall be kept only for the minimum period required to fulfill the intended purpose.",GDPR-14,The organization implements appropriate data protection policies by the controller.,Art.14,,Data Retention,Section 14 -> Rule 13.0 -> DPDP-14 -> GDPR-14 -> Art.14 -> Data Retention,ARTICLE_MATCH,0.95
Section 15,Duties of Data Principal.,Rule 13.0,,,,,,,,,Section 15 -> NO GDPR MAPPING,NONE,0.0
Section 16,Processing of personal data outside India.,Rule 14.0,,DPDP-16,"The organization shall implement processes to respect and fulfill the rights of Data Principals, including the right to access, correct, erase, and port their personal data upon request. Requests must be handled promptly, transparently, and securely.",GDPR-09,The organization has mechanisms in place to ensure that data subjects have the right to obtain restrictions of processing under applicable requirements and/or circumstances.,Art.9,,Third Party Sharing/Collection,Section 16 -> Rule 14.0 -> DPDP-16 -> GDPR-09 -> Art.9 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 16,Processing of personal data outside India.,Rule 14.0,,DPDP-16,"The organization shall implement processes to respect and fulfill the rights of Data Principals, including the right to access, correct, erase, and port their personal data upon request. Requests must be handled promptly, transparently, and securely.",GDPR-09,The organization has mechanisms in place to ensure that data subjects have the right to obtain restrictions of processing under applicable requirements and/or circumstances.,Art.9,,User Choice/Control,Section 16 -> Rule 14.0 -> DPDP-16 -> GDPR-09 -> Art.9 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 16,Processing of personal data outside India.,Rule 14.0,,DPDP-16,"The organization shall implement processes to respect and fulfill the rights of Data Principals, including the right to access, correct, erase, and port their personal data upon request. Requests must be handled promptly, transparently, and securely.",GDPR-09,The organization has mechanisms in place to ensure that data subjects have the right to obtain restrictions of processing under applicable requirements and/or circumstances.,Art.9,,"User Access, Edit and Deletion","Section 16 -> Rule 14.0 -> DPDP-16 -> GDPR-09 -> Art.9 -> User Access, Edit and Deletion",ARTICLE_MATCH,0.95
Section 16,Processing of personal data outside India.,Rule 14.0,,DPDP-16,"The organization shall implement processes to respect and fulfill the rights of Data Principals, including the right to access, correct, erase, and port their personal data upon request. Requests must be handled promptly, transparently, and securely.",GDPR-39,The data subject has the right to withdraw his or her consent at any time.,Art.39,,Third Party Sharing/Collection,Section 16 -> Rule 14.0 -> DPDP-16 -> GDPR-39 -> Art.39 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 16,Processing of personal data outside India.,Rule 14.0,,DPDP-16,"The organization shall implement processes to respect and fulfill the rights of Data Principals, including the right to access, correct, erase, and port their personal data upon request. Requests must be handled promptly, transparently, and securely.",GDPR-39,The data subject has the right to withdraw his or her consent at any time.,Art.39,,User Choice/Control,Section 16 -> Rule 14.0 -> DPDP-16 -> GDPR-39 -> Art.39 -> User Choice/Control,ARTICLE_MATCH,0.95
Section 16,Processing of personal data outside India.,Rule 14.0,,DPDP-31,"Organizations must ensure that any transfer of personal data outside the territory of India complies strictly with the conditions prescribed under DPDPA 2023. Personal data may only be transferred to jurisdictions approved by the Central Government, which will maintain a whitelist of permissible countries. Transfers must be undertaken with appropriate safeguards to ensure that the data remains subject to a level of protection comparable to DPDPA standards. Organizations must evaluate legal, regulatory, and contractual mechanisms to protect transferred data, such as entering into binding contractual clauses, conducting data protection impact assessments, and ensuring that data subjects’ rights are preserved in cross-border contexts. Data Principals must be informed about the possibility of cross-border transfers, and explicit consent must be obtained if required. Any transfer-related risks must be documented, and transfer agreements should mandate breach notifications, cooperation obligations, and compliance with grievance redressal mechanisms.",GDPR-36,Data processing follows applicable compliance requirements.,Art.36,,Third Party Sharing/Collection,Section 16 -> Rule 14.0 -> DPDP-31 -> GDPR-36 -> Art.36 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 16,Processing of personal data outside India.,Rule 14.0,,DPDP-31,"Organizations must ensure that any transfer of personal data outside the territory of India complies strictly with the conditions prescribed under DPDPA 2023. Personal data may only be transferred to jurisdictions approved by the Central Government, which will maintain a whitelist of permissible countries. Transfers must be undertaken with appropriate safeguards to ensure that the data remains subject to a level of protection comparable to DPDPA standards. Organizations must evaluate legal, regulatory, and contractual mechanisms to protect transferred data, such as entering into binding contractual clauses, conducting data protection impact assessments, and ensuring that data subjects’ rights are preserved in cross-border contexts. Data Principals must be informed about the possibility of cross-border transfers, and explicit consent must be obtained if required. Any transfer-related risks must be documented, and transfer agreements should mandate breach notifications, cooperation obligations, and compliance with grievance redressal mechanisms.",GDPR-36,Data processing follows applicable compliance requirements.,Art.36,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 16 -> Rule 14.0 -> DPDP-31 -> GDPR-36 -> Art.36 -> Policy Change,DIRECT_JURIX,1.0
Section 17,Exemptions.,Rule 15.0,,DPDP-35,"The Digital Personal Data Protection Act, 2023 (DPDPA) grants specific exemptions to the processing of personal data when it is necessary for journalistic purposes. These exemptions aim to balance two critical interests — safeguarding individual privacy and preserving the freedom of speech and expression, particularly when serving the public interest. Under these provisions, certain compliance requirements such as obtaining explicit consent, strict purpose limitation, and data storage restrictions may not apply if personal data is processed solely for journalistic activities, including news reporting, editorial writing, and investigative journalism.

However, the exemption is not automatic. It applies only if:

The data processing is genuinely necessary for journalistic activities.

The activity serves a public interest purpose (e.g., informing society on matters of significance).

The rights and freedoms of the individuals concerned are reasonably respected (i.e., no unjustified harm, defamation, or data misuse).

Journalistic entities must still act responsibly, ensuring fairness, accuracy, and accountability. Misuse of the exemption — such as processing personal data without a clear journalistic need — can lead to regulatory scrutiny and penalties.",,,,,,Section 17 -> NO GDPR MAPPING,NONE,0.0
Section 18,Establishment of Board.,Rule 16.0,,DPDP-18,"The organization shall establish and maintain a grievance redressal mechanism that allows Data Principals to file complaints regarding the handling of their personal data. Complaints must be addressed promptly, with an option for escalation to the Data Protection Board (DPB) if unresolved.",,,,,,Section 18 -> NO GDPR MAPPING,NONE,0.0
Section 19,Composition and qualifications for appointment of Chairperson and Members.,Rule 16.0,,DPDP-19,"The organization shall establish and maintain a comprehensive breach notification process that ensures timely detection, assessment, and reporting of personal data breaches. Upon breach identification, an initial assessment must be completed within 24 hours. Qualifying breaches must be reported to the Data Protection Board within 72 hours, with notifications including the breach nature, data categories affected, number of impacted Data Principals, potential consequences, and remedial actions. When breaches are likely to cause significant harm, affected Data Principals must be notified within 7 days using clear language that explains the breach, its impact, protective recommendations, and organizational response measures. The organization shall maintain a detailed breach register documenting all incidents for five years. Third-party vendors must report breaches within 24 hours of discovery. To ensure readiness, quarterly staff training and biannual simulation exercises shall be conducted. Regular audits must verify control effectiveness and DPDPA compliance.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,,Third Party Sharing/Collection,Section 19 -> Rule 16.0 -> DPDP-19 -> GDPR-25 -> Art.25 -> Third Party Sharing/Collection,ARTICLE_MATCH,0.95
Section 19,Composition and qualifications for appointment of Chairperson and Members.,Rule 16.0,,DPDP-19,"The organization shall establish and maintain a comprehensive breach notification process that ensures timely detection, assessment, and reporting of personal data breaches. Upon breach identification, an initial assessment must be completed within 24 hours. Qualifying breaches must be reported to the Data Protection Board within 72 hours, with notifications including the breach nature, data categories affected, number of impacted Data Principals, potential consequences, and remedial actions. When breaches are likely to cause significant harm, affected Data Principals must be notified within 7 days using clear language that explains the breach, its impact, protective recommendations, and organizational response measures. The organization shall maintain a detailed breach register documenting all incidents for five years. Third-party vendors must report breaches within 24 hours of discovery. To ensure readiness, quarterly staff training and biannual simulation exercises shall be conducted. Regular audits must verify control effectiveness and DPDPA compliance.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,,Data Retention,Section 19 -> Rule 16.0 -> DPDP-19 -> GDPR-25 -> Art.25 -> Data Retention,ARTICLE_MATCH,0.95
Section 19,Composition and qualifications for appointment of Chairperson and Members.,Rule 16.0,,DPDP-19,"The organization shall establish and maintain a comprehensive breach notification process that ensures timely detection, assessment, and reporting of personal data breaches. Upon breach identification, an initial assessment must be completed within 24 hours. Qualifying breaches must be reported to the Data Protection Board within 72 hours, with notifications including the breach nature, data categories affected, number of impacted Data Principals, potential consequences, and remedial actions. When breaches are likely to cause significant harm, affected Data Principals must be notified within 7 days using clear language that explains the breach, its impact, protective recommendations, and organizational response measures. The organization shall maintain a detailed breach register documenting all incidents for five years. Third-party vendors must report breaches within 24 hours of discovery. To ensure readiness, quarterly staff training and biannual simulation exercises shall be conducted. Regular audits must verify control effectiveness and DPDPA compliance.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,Art.5(1(e)): Storage Limitation,Data Security,Section 19 -> Rule 16.0 -> DPDP-19 -> GDPR-25 -> Art.25 -> Data Security,DIRECT_JURIX,1.0
Section 19,Composition and qualifications for appointment of Chairperson and Members.,Rule 16.0,,DPDP-19,"The organization shall establish and maintain a comprehensive breach notification process that ensures timely detection, assessment, and reporting of personal data breaches. Upon breach identification, an initial assessment must be completed within 24 hours. Qualifying breaches must be reported to the Data Protection Board within 72 hours, with notifications including the breach nature, data categories affected, number of impacted Data Principals, potential consequences, and remedial actions. When breaches are likely to cause significant harm, affected Data Principals must be notified within 7 days using clear language that explains the breach, its impact, protective recommendations, and organizational response measures. The organization shall maintain a detailed breach register documenting all incidents for five years. Third-party vendors must report breaches within 24 hours of discovery. To ensure readiness, quarterly staff training and biannual simulation exercises shall be conducted. Regular audits must verify control effectiveness and DPDPA compliance.",GDPR-25,"In the case of a personal data breach, data controllers notify supervisory authorities within 72 hours.",Art.25,Art.5(1(f)): Integrity and Confidentiality,Policy Change,Section 19 -> Rule 16.0 -> DPDP-19 -> GDPR-25 -> Art.25 -> Policy Change,DIRECT_JURIX,1.0
